overall_volume_rank,combined_popularity_score,pos_code,pos_name,pos_category,sku_family,pos_customer_price_est,pos_price_ex_tax,current_zomato_menu_match,current_zomato_price,current_swiggy_workbook_match,current_swiggy_workbook_price,swiggy_volume_rank,swiggy_best_match,swiggy_best_match_orders,swiggy_best_match_units,swiggy_best_match_aov,swiggy_best_match_price,swiggy_cg_cuisine,swiggy_dish_family,swiggy_primary_cuisine,swiggy_item_category,swiggy_is_combo,swiggy_veg_flag,swiggy_match_confidence,zomato_ov_rank,zomato_best_match,zomato_primary_cuisine,zomato_best_match_avg_price,zomato_match_confidence,swiggy_volume_price,zomato_rank_adjusted_price,raw_volume_customer_price,suggested_volume_customer_price,price_derivation_source,price_vs_pos_customer_diff,price_vs_pos_customer_diff_pct,price_action_read,execution_mapping_gate,swiggy_top_similar_items,zomato_top_similar_items,match_notes
1,100.0,,Chicken Boneless Biryani,Biryani & Rice,biryani_chicken_boneless,280,266.67,Chicken Boneless Biryani,280.0,Chicken Boneless Biryani,355.0,1,chicken boneless biryani,2994,3770,477.93,375.0,Biryani,BIRYANI,Biryani,non-veg biriyani,,,HIGH,1,chicken boneless biryani,Biryani,360.0,HIGH,375.0,360.0,369.3,369,swiggy_weighted_median_plus_zomato_rank_adjusted,89,0.3179,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken boneless biryani @ 375 (rank 1, score 1.00) | box chicken boneless biryani @ 265 (rank 5, score 1.00) | chicken biryani (boneless) @ 200 (rank 795, score 1.00)","chicken boneless biryani @ 360 (rank 1, score 1.00) | box chicken boneless biryani @ 245 (rank 5, score 1.00) | boneless special chicken biryani @ 330 (rank 3, score 0.97)",Exact/direct
2,70.0,HE-1201,Chicken Biryani,Indian,biryani_chicken,250,238.1,Chicken Biryani,275.0,Chicken Biryani,320.0,7,chicken biryani,690,894,472.43,365.0,Biryani,BIRYANI,Biryani,non-veg biriyani,,,HIGH,2,chicken biryani,Mughlai,289.0,HIGH,365.0,294.0,338.02,329,swiggy_weighted_median_plus_zomato_rank_adjusted,79,0.316,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken biryani @ 365 (rank 7, score 1.00) | chicken biryani @ 205 (rank 32, score 1.00) | chicken biryani @ 230 (rank 53, score 1.00)","chicken biryani @ 289 (rank 2, score 1.00) | chicken biryani @ 252 (rank 3, score 1.00) | spl chicken biryani @ 249 (rank 3, score 1.00)",Exact/direct
3,62.76,HE-1205,Ghee Rice,Indian,rice,100,95.24,Ghee Rice,100.0,Ghee Rice,130.0,18,ghee rice,336,514,177.64,110.0,North Indian,OTHER RICE VARIETIES,North Indian,empire special rice & fried rice,,1.0,HIGH,1,ghee rice,North Indian,159.0,HIGH,110.0,159.0,128.62,129,swiggy_weighted_median_plus_zomato_rank_adjusted,29,0.29,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"ghee rice @ 110 (rank 18, score 1.00) | ghee rice @ 125 (rank 45, score 1.00) | ghee rice @ 250 (rank 150, score 1.00)","ghee rice @ 159 (rank 1, score 1.00) | ghee rice @ 103 (rank 6, score 1.00) | ghee rice @ 183 (rank 6, score 1.00)",Exact/direct
4,62.39,HE-1235,Chicken Fried Rice,Fried Rice,chinese_rice_noodles,190,180.95,Chicken Fried Rice,205.0,Chicken Fried Rice,240.0,10,chicken fried rice,496,599,199.26,165.0,North Indian,FRIED RICE,Biryani,fried rice,,,HIGH,6,chicken fried rice,North Indian,201.0,HIGH,165.0,201.0,178.68,179,swiggy_weighted_median_plus_zomato_rank_adjusted,-11,-0.0579,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_READY_FOR_OFFER_LAYER,"chicken fried rice @ 165 (rank 10, score 1.00) | chicken fried rice @ 360 (rank 62, score 1.00) | chicken fried rice @ 140 (rank 193, score 1.00)","chicken fried rice @ 201 (rank 6, score 1.00) | chicken fried rice @ 165 (rank 26, score 1.00) | chicken fried rice @ 258 (rank 37, score 1.00)",Exact/direct
5,58.03,HE-1200,Mutton Biryani,Indian,biryani_mutton,340,323.81,Mutton Biryani,350.0,Mutton Biryani,430.0,26,mutton biryani,238,352,753.59,490.0,Biryani,BIRYANI,Biryani,non-veg biriyani,,,HIGH,3,mutton biryani,Hyderabadi,340.0,HIGH,490.0,340.0,433.0,429,swiggy_weighted_median_plus_zomato_rank_adjusted,89,0.2618,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"mutton biryani @ 490 (rank 26, score 1.00) | mutton biryani [500 gm] [2 pcs] @ 577 (rank 186, score 1.00) | mutton biryani (2 pcs) @ 300 (rank 230, score 1.00)","mutton biryani @ 340 (rank 3, score 1.00) | mutton biryani @ 403 (rank 11, score 1.00) | mutton biryani @ 382 (rank 28, score 1.00)",Exact/direct
6,57.5,HE-1163,Chicken Kabab,Tandoori Starters,dry_starter_kabab,100,95.24,Chicken kabab,210.0,Chicken Kabab,130.0,43,chicken kabab,174,200,391.03,360.0,Biryani,KEBAB,Biryani,non-veg starter,,,HIGH,1,chicken kabab,Mughlai,256.0,HIGH,230.0,256.0,239.88,229,swiggy_weighted_median_plus_zomato_rank_adjusted,129,1.29,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"chicken kabab @ 360 (rank 43, score 1.00) | chicken kebab @ 230 (rank 44, score 1.00) | chicken kebab @ 210 (rank 501, score 1.00)","chicken kabab @ 256 (rank 1, score 1.00) | chicken kebab @ 202 (rank 7, score 1.00) | chicken kebab @ 295 (rank 13, score 1.00)",Exact/direct
7,51.12,HE-1212,Kerala Paratha,Indian Breads,bread,30,28.57,Kerala Paratha,30.0,Kerala Paratha,40.0,79,kerala parotta,108,317,117.41,40.0,North Indian,PAROTTA,Biryani,breads,,1.0,HIGH,5,kerala parotta,North Indian,37.0,HIGH,39.0,37.0,38.24,39,swiggy_weighted_median_plus_zomato_rank_adjusted,9,0.3,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"kerala parotta @ 40 (rank 79, score 1.00) | kerala parotta @ 39 (rank 96, score 1.00) | kerala paratha @ 25 (rank 297, score 1.00)","kerala parotta @ 37 (rank 5, score 1.00) | wheat parotta @ 41 (rank 36, score 0.61) | ceylon parotta @ 41 (rank 32, score 0.60)",Exact/direct
8,49.8,HE-1138,Kalmi Kabab,Tandoori Starters,dry_starter_kabab,270,257.14,Kalmi Kabab,270.0,Kalmi Kabab,345.0,141,kalmi kabab (4 pieces),68,74,397.79,385.0,Biryani,KEBAB,Biryani,non-veg tandoor,,,HIGH,4,kalmi kabab,Mughlai,64.0,HIGH,385.0,64.0,263.02,269,swiggy_weighted_median_plus_zomato_rank_adjusted,-1,-0.0037,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"kalmi kabab (4 pieces) @ 385 (rank 141, score 1.00) | kalmi kebab (4 pcs) @ 460 (rank 251, score 1.00) | kalmi kabab - half (2 pcs) @ 260 (rank 495, score 1.00)","kalmi kabab @ 64 (rank 4, score 1.00) | kalmi kebab @ 188 (rank 45, score 1.00) | seekh kebab @ 138 (rank 8, score 0.65)",Exact/direct
9,48.31,HE-1220,Butter Naan,Indian Breads,bread,45,42.86,Butter Naan,45.0,Butter Naan,60.0,48,butter naan,164,365,122.53,65.0,Biryani,NAAN,Biryani,indian breads,,1.0,HIGH,11,butter naan,North Indian,74.0,HIGH,65.0,74.0,68.42,69,swiggy_weighted_median_plus_zomato_rank_adjusted,24,0.5333,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"butter naan @ 65 (rank 48, score 1.00) | butter naan @ 55 (rank 80, score 1.00) | butter naan @ 47 (rank 224, score 1.00)","butter naan @ 74 (rank 11, score 1.00) | butter naan @ 62 (rank 13, score 1.00) | butter naan @ 72 (rank 33, score 1.00)",Exact/direct
10,48.14,HE-1218,Roomali Roti,Indian Breads,bread,18,17.14,Roomali Roti,18.0,Roomali Roti,25.0,173,rumali roti,56,231,103.12,25.0,North Indian,ROTI,Biryani,roti,,1.0,HIGH,5,rumali roti,Mughlai,38.0,HIGH,25.0,38.0,29.94,29,swiggy_weighted_median_plus_zomato_rank_adjusted,11,0.6111,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"rumali roti @ 25 (rank 173, score 1.00) | roomali roti @ 114 (rank 359, score 1.00) | roomali roti @ 69 (rank 473, score 1.00)","rumali roti @ 38 (rank 5, score 1.00) | rumali roti @ 44 (rank 10, score 1.00) | romali roti @ 29 (rank 43, score 1.00)",Exact/direct
