audit_dimension,source,value,count,interpretation
raw_rows,POS / Odoo,active saleable POS SKUs,170,Execution base menu; every final recommendation must map back to one of these or be explicitly new SKU.
raw_rows,Swiggy DATA.xlsx,all rows,4787,Raw market demand rows across listed Bangalore areas.
raw_rows,Swiggy DATA.xlsx,Central Bangalore rows,3354,Correct cluster filter for HE Shivajinagar/MG Road demand context.
aggregated_rows,Swiggy DATA.xlsx,Central Bangalore item-price-taxonomy groups,3216,"Rows after grouping by item, price, cuisine/dish/category/veg/combo dimensions."
raw_rows,Zomato MG Road workbook,MG Road rank-price rows,183,"All Zomato rows are MG Road locality; signal is rank, not line-item order count."
execution_mapping_gate,Micro-Step 38 output,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,56,Mapping gate
execution_mapping_gate,Micro-Step 38 output,USABLE_WITH_OPERATOR_REVIEW,30,Mapping gate
execution_mapping_gate,Micro-Step 38 output,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,28,Mapping gate
execution_mapping_gate,Micro-Step 38 output,NO_EXTERNAL_CONTEXT,20,Mapping gate
execution_mapping_gate,Micro-Step 38 output,WEAK_MAPPING_DO_NOT_PRICE_FROM_THIS,19,Mapping gate
execution_mapping_gate,Micro-Step 38 output,PORTION_OR_OFFER_GATE_REQUIRED,9,Mapping gate
execution_mapping_gate,Micro-Step 38 output,DIRECT_EQUIVALENT_READY_FOR_OFFER_LAYER,8,Mapping gate
price_action_read,Micro-Step 38 output,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,83,Price action read
price_action_read,Micro-Step 38 output,NEAR_POS_VOLUME_PRICE,50,Price action read
price_action_read,Micro-Step 38 output,NO_EXTERNAL_PRICE_PROOF,20,Price action read
price_action_read,Micro-Step 38 output,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,17,Price action read
price_derivation_source,Micro-Step 38 output,swiggy_weighted_median_plus_zomato_rank_adjusted,129,Price derivation
price_derivation_source,Micro-Step 38 output,swiggy_weighted_median_only,21,Price derivation
price_derivation_source,Micro-Step 38 output,no_reliable_external_price,20,Price derivation
swiggy_match_confidence,Micro-Step 38 output,HIGH,98,Swiggy confidence
swiggy_match_confidence,Micro-Step 38 output,MEDIUM,33,Swiggy confidence
swiggy_match_confidence,Micro-Step 38 output,WEAK,24,Swiggy confidence
swiggy_match_confidence,Micro-Step 38 output,LOW,15,Swiggy confidence
zomato_match_confidence,Micro-Step 38 output,HIGH,55,Zomato confidence
zomato_match_confidence,Micro-Step 38 output,MEDIUM,55,Zomato confidence
zomato_match_confidence,Micro-Step 38 output,WEAK,45,Zomato confidence
zomato_match_confidence,Micro-Step 38 output,LOW,15,Zomato confidence
sku_family,Micro-Step 38 output,other,69,POS SKU family
sku_family,Micro-Step 38 output,combo,18,POS SKU family
sku_family,Micro-Step 38 output,dry_starter_kabab,12,POS SKU family
sku_family,Micro-Step 38 output,bread,9,POS SKU family
sku_family,Micro-Step 38 output,chicken_gravy,9,POS SKU family
sku_family,Micro-Step 38 output,combo_rice_curry,9,POS SKU family
sku_family,Micro-Step 38 output,roll_shawarma,8,POS SKU family
sku_family,Micro-Step 38 output,chinese_rice_noodles,6,POS SKU family
sku_family,Micro-Step 38 output,veg_gravy,4,POS SKU family
sku_family,Micro-Step 38 output,grill_tandoor,4,POS SKU family
sku_family,Micro-Step 38 output,dry_starter_tikka,4,POS SKU family
sku_family,Micro-Step 38 output,mutton_gravy,4,POS SKU family
sku_family,Micro-Step 38 output,rice,3,POS SKU family
sku_family,Micro-Step 38 output,biryani,3,POS SKU family
sku_family,Micro-Step 38 output,combo_biryani_kabab,2,POS SKU family
sku_family,Micro-Step 38 output,veg_gravy_dal,2,POS SKU family
sku_family,Micro-Step 38 output,biryani_chicken_boneless,1,POS SKU family
sku_family,Micro-Step 38 output,biryani_chicken,1,POS SKU family
sku_family,Micro-Step 38 output,biryani_mutton,1,POS SKU family
sku_family,Micro-Step 38 output,dry_starter_lollipop,1,POS SKU family
source_distribution,Swiggy AREA,Central Bangalore,3354,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
